"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrez_id"
"0610009B22Rik",15.6167762454376,11.6223536902321,2.42828332664334,NA,NA,66050
"0610010F05Rik",7.68366584068798,-0.0642210815680522,3.62911046261465,0.169390272596784,0.217414162743939,71675
"0610012G03Rik",16.0562993617343,-0.511575018756479,3.49075824095545,0.00756834428049333,0.0138839671995533,106264
"0610030E20Rik",12.0082497284747,-0.382755583055633,3.5317367184635,0.000175035050336422,0.000472115592612681,68364
"0610040J01Rik",16.0264412463093,0.477505142232492,1.41773003355919,0.245964340647521,0.300009056776089,76261
"1110004F10Rik",31.8340828611652,-0.797608594360332,3.43388855523337,0.539783267409954,0.596386962923105,56372
"1110008P14Rik",8.59943131447788,-0.771023826943389,3.37557391338788,0.0314947220182973,0.0489406728097287,73737
"1110032A03Rik",10.7057460143203,3.64702255367345,1.44679434881582,0.000472199704267945,0.00115432181881173,68721
"1110038B12Rik",4.92645334505786,-0.276889160886705,3.56325948265147,0.0120600609011478,0.0209822786889605,NA
"1110038F14Rik",11.1927793906859,0.631405168027402,1.31987179278012,NA,NA,117171
"1110059E24Rik",15.5315397523747,-0.0780665801023311,3.63587843464592,0.0135232788991638,0.0231260343374382,66206
"1110059G10Rik",18.7663926140101,4.11776022126674,1.35436473038101,NA,NA,66202
"1300002E11Rik",3.67232062351305,-0.00813903509869431,3.64854646264665,NA,NA,NA
"1500004A13Rik",1.30999017548933,0.024857168591667,3.6039941483462,NA,NA,NA
"1500011B03Rik",5.30916950946003,-0.378198443806503,3.5213802196325,0.0151436120922053,0.0256301133586967,330173
"1600010M07Rik",6.74178242857224,-0.32753455119216,3.41233694821242,0.000123368810742492,0.000344958795991447,NA
"1600012H06Rik",10.918515182646,-0.0686270924507177,3.63242120776234,NA,NA,67912
"1600014C10Rik",39.1129441854451,3.37768082198019,1.83969869191741,0.2605257312372,0.31560662524688,72244
"1600020E01Rik",8.79446239408161,4.29119473994262,1.95764828036751,3.67959094103186e-06,1.41740586700241e-05,NA
"1700012D01Rik",1.14659154796629,0.0339681054835411,3.58689424400168,0.811950841442765,0.846462457985688,NA
"1700017B05Rik",9.23213592488832,-0.186473187288247,3.59032591858528,0.0859217777686854,0.119344082477493,74211
"1700025G04Rik",1.41441011352873,5.66085482461399,2.53903932783032,NA,NA,69399
"1700037C18Rik",2.32346113539395,1.5563178039649,2.16429306509713,NA,NA,73261
"1700037H04Rik",11.8864535113141,3.71760259476622,1.31659358284115,NA,NA,67326
"1700096K18Rik",2.89596096176713,-0.06230357161086,3.63248973688144,NA,NA,NA
"1700097N02Rik",0.53992471826919,0.0526313827707314,3.53800935841262,0.417129163861783,0.478105103542419,NA
"1700123O20Rik",17.9220955030603,0.66881764950176,1.16352729736798,NA,NA,58248
"1810013L24Rik",18.1670342143959,1.72759350634239,1.28067928131008,NA,NA,69053
"1810030O07Rik",17.8433667685324,-0.17508917806972,3.60854793121723,0.793876606028904,0.831383609321752,69155
"1810034E14Rik",1.93346007404068,0.0202752293793496,3.65105167205475,0.957081146885323,0.968902746303817,NA
"1810037I17Rik",25.1396054085615,-1.61556221236489,3.2331514542409,1.15630062113883e-07,5.79597948279761e-07,67704
"1810055G02Rik",4.52862927540028,-0.011480141416278,3.64984617609938,0.0314112304264703,0.0488398888621284,72056
"1810058I24Rik",19.2161196825551,4.50486668273516,1.06942634171328,7.30352315008839e-16,1.09827157979968e-14,NA
"2010315B03Rik",5.76024401702677,-0.112105469532111,1.67427581792639,NA,NA,630836
"2210016F16Rik",20.3135951915385,-0.271913820938157,3.57390706699713,0.388612628366184,0.449359656554833,70153
"2210016L21Rik",7.71256607314688,1.35495647411032,1.20695786928405,0.295901862183989,0.353185639864102,72357
"2300009A05Rik",3.17807146226668,-0.0927888125460601,3.60604568975407,0.0648910074155839,0.0928920208948,69478
"2310001H17Rik",7.05822376853438,-0.597470090176707,3.44571545241628,0.202952377872006,0.254126843754509,NA
"2310009B15Rik",3.89855143629894,-0.121384877957576,3.56255527371914,NA,NA,69549
"2310011J03Rik",18.8720832763605,-0.399713602968574,3.53888389360297,0.0745574588796244,0.105294330154955,66374
"2310022A10Rik",19.2226254254831,2.27162869274609,0.864956626476318,3.53983644113599e-05,0.000111815543599197,66367
"2310022B05Rik",1.41282888326985,-0.152621294941931,3.55473456699411,0.148570963295304,0.193134127744128,69551
"2310033P09Rik",5.35364934869625,1.74719699885043,1.30180813212589,NA,NA,67862
"2310039H08Rik",8.89897357713328,-0.364852895865224,3.53623317104131,0.0301764944952526,0.0471619385175858,67101
"2310040G24Rik",2.22486540703655,-0.00557935023987021,3.62671465239393,NA,NA,NA
"2310061I04Rik",4.13995729099389,-0.0710494751137209,3.64070923042542,NA,NA,69662
"2410002F23Rik",6.88654278185161,2.94732516213759,2.40683518432955,NA,NA,668661
"2410004B18Rik",7.58641611984562,-0.340235818452911,3.54075700463244,0.727501926083436,0.770310303882725,66421
"2410006H16Rik",51.0138643654457,5.38658268694616,0.876956855198069,1.02791597219782e-41,7.74685849164614e-40,NA
"2500002B13Rik",3.28670892453489,-0.551888918690666,3.4418278302908,0.482982457151399,0.542614103912989,NA
"2510002D24Rik",18.2976698028074,4.11094798070197,2.31887695659365,NA,NA,72307
"2510039O18Rik",5.28192233338141,-0.235313330866603,3.57308887881122,0.717541318953282,0.76114748952057,77034
"2610001J05Rik",26.8634129999952,-0.480879188219655,1.64263344393768,0.0013418175523128,0.00297428485817155,66520
"2610002M06Rik",9.9288025555136,-0.0853483176398906,3.63790151335478,NA,NA,67028
"2610005L07Rik",1.09480149200337,-0.494795721614454,2.62886348319585,0.230433526750537,0.284350241140909,NA
"2610008E11Rik",4.31041438635808,-0.0229324849143792,3.65475778481803,NA,NA,72128
"2610035D17Rik",2.23758365415974,-0.0519492844915449,3.6301425740235,NA,NA,NA
"2610301B20Rik",4.25911375710665,-0.00609902574831167,3.65004479904488,NA,NA,67157
"2610318N02Rik",9.42564883296878,3.67577084244205,2.35675649415932,NA,NA,70458
"2610507B11Rik",47.2201301331734,2.38335474920889,0.80535237541373,1.33565152026885e-08,7.79962045473313e-08,72503
"2700049A03Rik",2.50129650633867,-0.051833475717774,3.62197879650514,NA,NA,76967
"2700062C07Rik",2.68905304783854,-0.263164304007875,3.60211220285406,NA,NA,68046
"2700097O09Rik",3.55673090485772,6.06198106940532,3.02067971018942,NA,NA,72658
"2700099C18Rik",5.02362580160427,-0.0810002885870419,3.62034934636406,0.504288407228003,0.562799919286165,NA
"2810001G20Rik",4.66387145805146,6.83797129126025,3.93831705700708,0.0116078002010852,0.0202780387477916,NA
"2810004N23Rik",4.61672967810427,-0.428388748384626,3.48976030427677,0.0254698974967047,0.0405266178251094,66523
"2810006K23Rik",24.3052583763575,4.83188227370636,1.14300585572599,NA,NA,72650
"2810013P06Rik",30.0306027837902,4.25011268427108,1.66647828425686,4.20496043290643e-06,1.59958292952486e-05,NA
"2810025M15Rik",2.43711335436364,-0.0682429131790426,3.62122600292474,NA,NA,NA
"2810403D21Rik",7.73576334800034,-0.0295744060510232,3.65009136074831,NA,NA,NA
"3110040N11Rik",7.79997995193568,3.52919439252273,1.84183718957481,NA,NA,67290
"3110056K07Rik",4.69023443921006,-0.105682374796011,3.62538372073139,NA,NA,NA
"3110082I17Rik",14.6464154670546,4.06271501898478,2.01418375095368,0.0976933742770663,0.133466358630601,73212
"3830406C13Rik",9.32699254386015,5.13932760420315,2.18106636448464,NA,NA,218734
"4632427E13Rik",11.2438455823955,-0.0647566016071966,3.63855539939015,NA,NA,NA
"4833418N02Rik",15.313515174955,2.70175177347325,0.931344071698338,NA,NA,NA
"4833420G17Rik",41.8943941793763,0.0151280416962464,1.39349243375168,5.06693764209407e-08,2.68712298936094e-07,67392
"4833439L19Rik",26.6782897400338,-0.402320297255255,3.5387715993293,0.823252878674309,0.856407590254567,97820
"4921524J17Rik",3.61313487260493,-0.193542137657923,3.58683595578691,0.366756779862875,0.427171623963923,66714
"4921531C22Rik",3.51586114420247,2.57653666977218,2.18414955769118,NA,NA,NA
"4930453N24Rik",10.5069639194813,-0.180142111142012,3.60470559614483,0.147837266875888,0.192449813372677,67609
"4930455G09Rik",1.45348210937306,-0.0923606444732017,3.57462672951966,NA,NA,NA
"4930503L19Rik",10.9884497982076,-0.0230681461153425,3.65867002292439,NA,NA,269033
"4930523C07Rik",159.242913874548,3.3015727964258,0.713196311913748,3.48338590649495e-14,4.42749407083465e-13,67647
"4930579G24Rik",4.28220846583044,-0.0177861733027103,3.63959942758576,0.235538346246743,0.289387493979332,75939
"4930581F22Rik",2.72464858355598,-0.061167382770294,3.62078756312175,NA,NA,NA
"4930595D18Rik",4.9693939983336,3.8949680517177,1.19462212428233,NA,NA,NA
"4931406C07Rik",8.63238883248818,-0.00810134725415499,3.65788499414616,NA,NA,70984
"4932438A13Rik",121.997638055569,5.5344413792413,0.9988075685669,NA,NA,229227
"4933421O10Rik",2.67372685547974,7.52520266140713,2.9468907725259,NA,NA,NA
"4933427D14Rik",5.90295714940377,-0.0281359389318132,3.64835665516999,NA,NA,74477
"4933434E20Rik",82.3810583838089,3.195915638032,1.04060079748919,1.22088339022056e-11,1.11888111555835e-10,99650
"4933434E20Rik",82.3810583838089,3.195915638032,1.04060079748919,1.22088339022056e-11,1.11888111555835e-10,NA
"5031425E22Rik",6.7493603728267,-0.403773899275047,1.30597998503758,0.0960718635788768,0.131419252207193,NA
"5031439G07Rik",20.5993141079504,3.09297621417047,1.4681552736234,0.000914041087172144,0.00209718739413494,223739
"5430437J10Rik",12.6490028989304,-0.0118996231021035,3.64182884951275,0.401580774996157,0.462351985015345,NA
"5530601H04Rik",9.26959181602182,-0.00336979104615961,3.62408809093585,0.525872627393279,0.583533700169988,NA
"5730455P16Rik",6.71659034207746,2.66715771814867,1.3427995528635,NA,NA,70591
"5830428M24Rik",17.3911928791379,8.01553424616996,3.17390791117547,NA,NA,NA
"5830432E09Rik",11.9020041929121,-0.27386686960063,3.55719486529749,NA,NA,NA
"6030458C11Rik",8.39693769515588,-0.0681087209706615,3.6289357669251,NA,NA,77877
"6430548M08Rik",28.7801494034441,1.31633166017336,1.19643621379025,NA,NA,234797
"6530402F18Rik",5.62121840425244,-0.204949799104924,3.58408697045981,0.0911006201575027,0.125476364809495,NA
"6820431F20Rik",2.4518565129718,-4.61776591354348,3.45269180664611,0.126350193519695,0.167820721477746,NA
"9130401M01Rik",3.06974926268127,1.06376177390318,1.21139040972986,NA,NA,75758
"9430038I01Rik",5.7027513533538,-0.343112241468419,3.53225980248389,0.341924629469449,0.400872836087352,77252
"9530068E07Rik",46.3594203927231,1.77934479298189,0.959894415931579,1.72980360239864e-07,8.43312167196779e-07,213673
"9930021J03Rik",5.10606434616183,-0.207141486185237,3.5829736162412,NA,NA,240613
"9930111J21Rik1",6.79924168017425,-0.058826953391511,1.99069259522551,0.340199343590254,0.399288566331837,667214
"9930111J21Rik2",26.4753973698398,-3.00750280962524,1.99219258595618,5.92205008457396e-07,2.62719202505407e-06,245240
"A130010J15Rik",2.8040478347918,-0.0654928993738698,3.61851129888929,NA,NA,319266
"A130077B15Rik",1.79141645276997,-0.0333658851553793,3.64281224907623,NA,NA,NA
"A430005L14Rik",14.2861999724692,-0.338370571199641,3.55440579421018,0.0111907911793044,0.0196244753064944,97159
"A530032D15Rik",2.41897274426822,2.03096757879989,1.33510824067695,NA,NA,381287
"A530064D06Rik",13.4949506599032,7.18743723915291,3.09260119088644,0.0015503897122893,0.003386224513101,328830
"A630001G21Rik",17.0094259362836,-0.428925617943872,3.52013473119624,0.000804175290847395,0.001869889986631,319997
"A730008H23Rik",23.1894515380714,1.10259702637214,1.25139568090031,1.80852647129399e-05,6.05615294046488e-05,NA
"A930007I19Rik",5.30553573893053,7.69658675432825,3.14411921588123,0.00356646333598214,0.00708207195607613,NA
"A930011G23Rik",23.7384166717817,-0.178519057434811,3.60676802191044,0.00535724452456738,0.0102229694442594,NA
"AA465934",2.4523073202691,0.0288069125946023,1.63320999502816,5.94099099633589e-05,0.000178257556545797,NA
"AA467197",1.70261884959171,0.00251138280164055,3.58384707143733,0.309028836407246,0.366735592075735,433470
"Aaas",9.8194880997197,-0.132258284676228,3.62165592420331,0.77261883886803,0.812175300588874,223921
"Aacs",6.998400501542,-0.144067842541791,3.61811051008824,NA,NA,78894
"Aagab",18.9480036972964,2.30734150296556,1.93668391303588,0.0595262763094841,0.0861168306320134,66939
"Aak1",6.8656112947398,-0.147960210538736,3.60685059370451,0.0381603195350241,0.0577515528969777,269774
"Aamdc",4.1623464585451,-0.00996773250039447,3.64567563932062,NA,NA,66273
"Aamp",53.2718886888458,3.51042470676725,0.764807947616691,5.0930306961617e-09,3.15531476205144e-08,227290
"Aar2",10.1808779539338,-0.14505929797822,3.6124902328913,NA,NA,68295
"Aars",8.38678475648304,-0.417921291426089,3.50955586563916,0.688421190832563,0.73561737255603,234734
"Aars2",3.60155648936937,-0.0118277305954369,3.65225618337182,NA,NA,224805
"Aasdhppt",7.10012880128898,-0.0674312274596021,3.63192007705113,NA,NA,67618
"Aatf",8.56497806994572,4.00020423185216,1.70788248757885,0.0440681119202462,0.0656970735306253,56321
"AB124611",60.0484733007009,-1.00604838293417,3.40680391798226,0.0829991107802652,0.115736243721893,382062
"Abca1",16.5382830797261,-0.140079021164894,3.61544955479123,NA,NA,11303
"Abca13",4.98083494529223,-0.0316347480541006,3.64540795511613,NA,NA,268379
"Abca2",36.0198083060971,2.66118920068935,1.51797005941393,NA,NA,11305
"Abca3",10.7124884344624,-0.0699650362632807,3.62527827902494,NA,NA,27410
"Abca7",59.112795038027,4.04077062376575,0.971208351318651,4.41843936425653e-14,5.56080993466156e-13,27403
"Abca9",28.7002238857492,4.39123218509743,2.02477661450227,5.46747605659041e-05,0.000165601189685665,217262
"Abcb1b",1.12035692682253,-0.0102395444843256,3.63702894288179,NA,NA,18669
"Abcb7",28.2066568130519,3.37109732536745,1.21476213413185,7.04059669020985e-05,0.000207939430140545,11306
"Abcb8",4.86724574518818,-0.0169114616589168,3.63857062994734,0.185276756201063,0.235114878919461,74610
"Abcc1",8.4370936636782,0.556063827034921,1.53341582470918,NA,NA,17250
"Abcc3",7.95525876003338,-0.0422166887887376,3.64539746736403,NA,NA,76408
"Abcc4",11.2287795554424,-0.360387189965956,3.53956507778955,0.513423295149488,0.571401950786592,239273
"Abcc5",30.3630547044882,-0.633545698757937,3.45308180088216,1.20569971510656e-07,6.02004082227018e-07,27416
"Abcd1",26.3528095404562,-0.516042487837311,3.48814408269814,0.207349647382128,0.258873872759679,11666
"Abcd2",67.0236165677927,0.68999486180382,1.51284335448103,NA,NA,26874
"Abcd3",6.63043039930174,-0.00958210855957177,3.65303112788346,NA,NA,19299
"Abcd4",7.97574059556589,0.665698434089197,2.35215644347296,NA,NA,19300
"Abce1",17.2940112360726,-0.290354427221018,3.55403818621281,0.208039294897069,0.259633688507817,24015
"Abcf1",24.6728833813914,-0.720108635109388,1.07680245398723,0.160555317977579,0.206945144258424,224742
"Abcf2",25.1740291149633,-1.65074620787277,1.50873264268707,4.95925820045021e-06,1.86656921457603e-05,27407
"Abcf3",10.3823509907468,-0.144919468600234,3.58448598514625,0.376492813911998,0.436843500438373,27406
"Abcg1",257.16451184181,4.53889630671497,0.818641823298791,3.80539708637442e-25,1.24374355792421e-23,11307
"Abcg3",13.6598693676179,-0.491764997073725,1.7572797587401,NA,NA,27405
"Abhd10",6.51465423859284,0.612680431901098,1.3852033512367,NA,NA,213012
"Abhd11",31.4072076811626,4.49590867217505,0.759892505750561,1.53302076385047e-20,3.57110218662767e-19,68758
"Abhd12",74.2486966752052,-0.679394643246887,3.47991793655549,2.96341014312045e-05,9.51559166758377e-05,76192
"Abhd13",3.36867261906949,-0.0273577311006681,3.64940341276081,NA,NA,68904
"Abhd15",1.65467104548351,-0.264572523020874,3.52741689300919,0.00323705391686982,0.00648828766942055,67477
"Abhd16a",25.5286480283083,-0.211642313661993,3.5987290829561,0.157200842263694,0.203316897948965,193742
"Abhd17a",3.01617120971313,4.08282909648524,2.09019668793376,NA,NA,216169
"Abhd17b",6.25592635658588,-0.118566233520783,3.59718904270814,0.481195488165426,0.541270991604517,226016
"Abhd17c",3.64679188227144,-0.0378386520501275,3.63516310334812,NA,NA,70178
"Abhd18",5.17536079405111,-0.0297741354538919,3.64851415300029,NA,NA,269423
"Abhd2",58.4884566978993,4.11756255209433,0.837764896022415,5.53032819781708e-26,1.8548315411108e-24,54608
"Abhd4",12.6357555481136,-0.0642305482307598,3.63731148946078,0.0487631471253658,0.0719430493977645,105501
"Abhd5",13.5810017637454,-0.225515783197874,3.59069565181731,0.0449654693165711,0.0668636946244091,67469
"Abi1",126.210721251689,-3.06938108251091,1.69579028241965,0.000430734226300686,0.00106289809463875,11308
"Abi2",6.51104192004851,2.74994544635387,1.67729303581848,NA,NA,329165
"Abi3",28.6393820425994,5.47050000598167,0.853596565481662,4.68868811035542e-33,2.65802973760503e-31,66610
"Abl1",13.6018158703951,-0.169398268845068,3.56857708592995,0.00690190007346615,0.0127674189635068,11350
"Abl2",13.2275959633045,-0.384381065545121,1.28103798498551,0.00930333657050236,0.0166752025939111,11352
"Abr",36.7563916916331,4.30041880061531,1.06324645955845,NA,NA,109934
"Abracl",62.5472353611903,5.82184024286632,0.6952043512397,NA,NA,73112
"Abraxas2",29.4067696527763,1.53097891374061,1.2339704847041,0.0248446694448137,0.0396697289290818,109359
"Abt1",5.86518386277003,-0.238731774727468,3.57531954008915,0.415422602039981,0.476660789659344,30946
"Abtb1",28.747009303704,-0.378579925534517,3.5487050321228,0.219852563241579,0.272360379061217,80283
"Abtb2",5.0390931434807,-0.0124094699096836,3.65542537780301,0.0556535641375139,0.0810633769588254,99382
"Acaa1a",66.0977217972433,-0.583950125782345,3.50405880228709,0.339823240375718,0.398993342713865,113868
"Acaa2",36.7514952901427,-0.546788111321218,3.50764976769757,0.00302955045076347,0.00612991161958016,52538
"Acaca",7.2540215790854,12.0710446660396,1.81354948086713,NA,NA,107476
"Acad8",16.2545408551161,-0.083823278294204,3.63295607710603,0.0345421567513193,0.0530513201028413,66948
"Acad9",6.91622417883672,-0.11254659747084,3.62712521251539,0.0367409371304771,0.0559114234404737,229211
"Acadl",32.0936897670663,1.99954492315859,1.29096163825176,NA,NA,11363
"Acadm",14.4746089829497,-0.671661339565088,3.44539569051814,0.00327248617180903,0.00654936538554086,11364
"Acads",4.94993781498883,-0.153218848130428,3.57492179083681,0.256245854094026,0.31136398735325,11409
"Acadsb",14.107459444971,-0.139078792396473,3.62045639735084,0.0137645513412843,0.0235072556364348,66885
"Acadvl",10.5177666564402,-0.238161711955203,3.58339543135828,0.0593398497786488,0.0859247463114883,11370
"Acap1",3.35191314973507,3.44620078124777,2.74357883698075,NA,NA,216859
"Acap2",41.9343596984538,1.83921131893987,0.771286525532443,0.00013753416386827,0.000379106649630008,78618
"Acap3",2.70099342347587,-0.0539650682491506,3.62762081718797,NA,NA,140500
"Acat1",27.736911012527,-0.419416777867941,3.53731612943667,0.00199620920020785,0.00421775935998045,110446
"Acat2",2.61156151970886,-0.0492744837603786,3.63872086759105,NA,NA,110460
"Acbd3",11.2297455847747,-0.17803855178204,3.60233759738838,NA,NA,170760
"Acbd4",2.4303258819059,-0.0140605137169357,3.65141805975807,NA,NA,67131
"Acbd5",20.1959366295974,4.37292268161793,1.61358989218836,0.0119018118413611,0.020746396368914,74159
"Acbd6",4.12924994597401,-0.344780875655801,3.53857626959442,NA,NA,72482
"Accs",3.7934756626712,0.00451947419114208,3.65251285392595,0.979774299611691,0.985311485606357,329470
"Acd",16.4628337031498,-0.31046859496599,3.56428107356995,7.60368415953804e-08,3.91868066983111e-07,497652
"Ace",46.5086352396819,10.9230164492967,1.67784250151749,0.000116184703416717,0.000326724850784673,11421
"Acer3",95.8045568776487,-0.955177378447837,1.33536182651144,0.000205346549548242,0.000545377278775307,66190
"Acin1",32.9990113871876,3.59563339565357,0.966599672106141,6.07641684043298e-15,8.24693353385883e-14,56215
"Acly",50.8358735466231,-1.11375425784016,1.14115295299661,2.95934692374508e-05,9.50731012713692e-05,104112
"Aco1",6.889085195169,-0.175245495809542,3.60341158706278,NA,NA,11428
"Aco2",27.1052496463458,1.31563432068733,1.44951514847961,NA,NA,11429
"Acod1",4.10351073982635,-0.000279232233995915,3.63751157333564,NA,NA,16365
"Acot11",2.88422821812742,-0.0500282376584378,3.63692484705919,0.730470528204297,0.773070246766352,329910
"Acot13",12.1072556945681,0.939570620817036,1.1465229596786,NA,NA,66834
"Acot2",5.48936445627703,0.278278184058503,1.29738709796162,NA,NA,171210
"Acot7",19.7570444112077,-0.380335179765177,3.54007165005366,0.454277303588293,0.514333758710959,70025
"Acot8",7.71836928153478,-0.21955996037954,3.59064351802381,0.0796403641238675,0.11163592397757,170789
"Acot9",49.1049345233681,-0.243135116488019,3.54544534985835,0.0556459219881671,0.0810633769588254,56360
"Acox1",18.509974831079,1.02060118862388,1.32377359841858,NA,NA,11430
"Acox3",27.6651908951249,-0.382003232765001,3.54763252203139,0.00199619614445012,0.00421775935998045,80911
"Acp1",24.8419947832466,-0.489601299187076,3.51221248618322,8.67965525763805e-08,4.42337880512564e-07,11431
"Acp2",14.2875292752532,-0.276967816647128,3.57251856631078,0.992366452757928,0.994539971271478,11432
"Acp5",13.0294685774298,-0.0941082243097481,3.6078873790236,0.057018886130661,0.0828824562180654,11433
"Acp6",17.0045557737729,4.65657945061768,2.32179139938859,8.3768080153212e-11,6.81853013292854e-10,66659
"Acsf3",13.9706041806463,4.70715895098671,2.47413592282549,1.91641923713746e-06,7.80953030095581e-06,257633
"Acsl1",17.0930402804913,3.08616175504935,1.57286906774043,NA,NA,14081
